Iteration;ML_Algorithms_and_Parameters;Cross_Validation_Performance;generation;mutation;crossover;predecessor;operator
40;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=53, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform);0.7467485485;0;0;0;('ROOT',);1
41;GaussianNB(GaussianNB(input_matrix));0.6473281281;0;0;0;('ROOT',);2
42;BernoulliNB(FeatureAgglomeration(input_matrix, FeatureAgglomeration__affinity=l2, FeatureAgglomeration__linkage=average), BernoulliNB__alpha=0.01, BernoulliNB__fit_prior=True);0.7437483483;0;0;0;('ROOT',);2
43;MultinomialNB(input_matrix, MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=False);0.6385287287;0;0;0;('ROOT',);1
44;BernoulliNB(input_matrix, BernoulliNB__alpha=0.1, BernoulliNB__fit_prior=False);0.6395281281;1;1;0;('MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)',);1
45;KNeighborsClassifier(MaxAbsScaler(input_matrix), KNeighborsClassifier__n_neighbors=70, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=uniform);0.7445481481;1;1;0;('BernoulliNB(MaxAbsScaler(input_matrix), BernoulliNB__alpha=100.0, BernoulliNB__fit_prior=False)',);2
46;KNeighborsClassifier(MinMaxScaler(input_matrix), KNeighborsClassifier__n_neighbors=38, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=distance);0.7435487487;1;1;0;('KNeighborsClassifier(MaxAbsScaler(input_matrix), KNeighborsClassifier__n_neighbors=38, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=distance)',);2
47;BernoulliNB(GaussianNB(input_matrix), BernoulliNB__alpha=0.1, BernoulliNB__fit_prior=True);0.7435483483;1;1;0;('GaussianNB(GaussianNB(input_matrix))',);2
48;GaussianNB(RBFSampler(input_matrix, RBFSampler__gamma=1.0));0.6395281281;1;1;0;('GaussianNB(input_matrix)',);2
49;MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=True);0.7447489489;1;1;0;('MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)',);1
50;MultinomialNB(input_matrix, MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=True);0.7447489489;1;1;0;('MultinomialNB(CombineDFs(input_matrix, input_matrix), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=True)',);1
51;GaussianNB(RBFSampler(MultinomialNB(input_matrix, MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False), RBFSampler__gamma=0.1));0.6395281281;1;0;1;('GaussianNB(RBFSampler(input_matrix, RBFSampler__gamma=0.1))', 'GaussianNB(MultinomialNB(input_matrix, MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False))');3
52;KNeighborsClassifier(CombineDFs(input_matrix, input_matrix), KNeighborsClassifier__n_neighbors=76, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=distance);0.7453487487;1;1;0;('MultinomialNB(CombineDFs(input_matrix, input_matrix), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=True)',);1
53;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=1, DecisionTreeClassifier__min_samples_leaf=12, DecisionTreeClassifier__min_samples_split=13);0.7447489489;1;1;0;('KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=53, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform)',);1
